time,pos,vel,vel_gps,accel
1686463410.6779478,-528.5578660013381,129.99870365281967,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.6881669,-528.5578660013381,130.01242042787945,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.6980917,-528.5578660013381,130.02612701045493,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.7096574,-528.5578660013381,130.0398207953278,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.7202604,-528.5578660013381,130.05349762619227,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.7315974,-528.5578660013381,130.06715515244505,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.742534,-528.5578660013381,130.0807947359768,36.09715503689455,"[0, -2.481417220444681e-11, nan]"
1686463410.7552295,-532.1696758885822,130.09442037255377,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.767058,-532.1696758885822,130.1080354912796,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.7791977,-532.1696758885822,130.12164020784422,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.7910056,-532.1696758885822,130.13523124248587,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.8012857,-532.1696758885822,130.1488045727112,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.8113582,-532.1696758885822,130.16235868644782,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.8228388,-532.1696758885822,130.17589581629582,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.833667,-532.1696758885822,130.18942015762042,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.8434029,-532.1696758885822,130.20293450296558,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.8521137,-532.1696758885822,130.21643800426773,36.13517343401429,"[0, -1.8175628058863337e-11, nan]"
1686463410.861491,-535.785265220975,130.2299268672603,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.8698409,-535.785265220975,130.24339742239846,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.8822854,-535.785265220975,130.25684909768606,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.8899894,-535.785265220975,130.27028489650803,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.8990982,-535.785265220975,130.28370899150997,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.9084308,-535.785265220975,130.2971233728029,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.9175355,-535.785265220975,130.31052625425073,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.9270043,-535.785265220975,130.3239135255466,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.936647,-535.785265220975,130.33728208218744,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.9465404,-535.785265220975,130.35063234612025,36.17278538327663,"[0, -1.684148323558057e-11, nan]"
1686463410.957471,-539.4045936380311,130.36396794177492,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463410.9670386,-539.4045936380311,130.37729278500137,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463410.9773884,-539.4045936380311,130.3906079342474,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463410.9893858,-539.4045936380311,130.40391074676774,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0012894,-539.4045936380311,130.4171970247513,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0126936,-539.4045936380311,130.43046441996702,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0251026,-539.4045936380311,130.44371434680215,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.036905,-539.4045936380311,130.45695085555272,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0485685,-539.4045936380311,130.47017737317128,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0606449,-539.4045936380311,130.4833939453916,36.20999604374873,"[0, -2.545924016452013e-11, nan]"
1686463411.0722892,-543.0276212521122,130.4965972104288,36.24680978612995,"[0, -2.941502683927156e-11, nan]"
1686463411.082776,-543.0276212521122,130.50978312931713,36.24680978612995,"[0, -2.941502683927156e-11, nan]"
1686463411.0941243,-543.0276212521122,130.52295026654102,36.24680978612995,"[0, -2.941502683927156e-11, nan]"
1686463411.1040647,-543.0276212521122,130.53610096707544,36.24680978612995,"[0, -2.941502683927156e-11, nan]"
